,source,text,timestamp,compound,positive,negative,neutral,tweet_index
34,BBC,"'There's ignorance about employment law &amp; people don't want to hear complaints.'
Classical music has a sexual haras… https://t.co/PpdlbV0Gck",Dec/10/2017,-0.4063,0.0,0.189,0.811,34
35,BBC,"'Their birthdays are never easy.' 
Hannah is one of thousands of mums living with PTSD from experiencing traumatic… https://t.co/lPMW5VXHfa",Dec/10/2017,0.0,0.0,0.0,1.0,35
36,BBC,"How do you make puppets fall in love? ????
Puppeteers reveal their techniques. https://t.co/GPNqLrFZit https://t.co/HfB09Yw8ek",Dec/10/2017,0.6369,0.231,0.0,0.769,36
37,BBC,"RT @CBeebiesHQ: He's the disco dancing, geography guide with the moves! ?

@BBCStrictly doesn't know what's hit it! ?

#GoJetters?

#Strict…",Dec/10/2017,0.0,0.0,0.0,1.0,37
38,BBC,"RT @BBCBreakfast: A clairvoyant cat? ? Or a turtle in the know??
Animals in Russia are predicting the outcome of @FIFAWorldCup 2018 https:/…",Dec/10/2017,0.0,0.0,0.0,1.0,38
39,BBC,RT @BBCOne: David Attenborough uncovers the story of Jumbo – a celebrity animal superstar who is said to have inspired the movie Dumbo. Ton…,Dec/10/2017,0.4939,0.132,0.0,0.868,39
40,BBC,Watch @ScottishBallet's incredible interpretations of Stravinsky. https://t.co/NGZuhnKutW https://t.co/vUOkoaJ7mc,Dec/10/2017,0.0,0.0,0.0,1.0,40
41,BBC,? @Time magazine has named 'the Silence Breakers' - women who spoke out against sexual abuse &amp; harassment - as its… https://t.co/roSq8US4Ev,Dec/10/2017,-0.8271,0.0,0.312,0.688,41
42,BBC,RT @BBCWthrWatchers: Some great pics of #UKsnow sent in by the early risers! https://t.co/b9Of6bvvIz,Dec/10/2017,0.6588,0.253,0.0,0.747,42
43,BBC,"RT @BBCR1: ? BIG FESTIVE NEWS ?

We've invited some of your favourite stars to take over Radio 1 on Christmas Day!

Get ready for Superstar…",Dec/10/2017,0.7597,0.237,0.0,0.763,43
44,BBC,"RT @BBCEarth: These orca just want a meal, but they could be risking their lives. ?#BluePlanet2 https://t.co/JeLlETfohs",Dec/10/2017,-0.4215,0.064,0.163,0.773,44
45,BBC,"'Whilst I appreciate the lovely people slowing down, if you see somebody with a guide dog, just drive on. Ziggy's g… https://t.co/CeH3p8geLq",Dec/10/2017,0.7579,0.265,0.0,0.735,45
46,BBC,"‘Why won’t he let me leave?!'
The #BluePlanet2 team had a rather unexpected visitor while filming in the Galapagos.… https://t.co/vvBS7WorXO",Dec/10/2017,0.0,0.0,0.0,1.0,46
47,BBC,"The Greek concept of philoxenia, which translates as ‘love of strangers’, is a warmth that makes foreigners feel im… https://t.co/O3BzC7lUp3",Dec/10/2017,0.4588,0.143,0.0,0.857,47
48,BBC,"A study of nearly 12,000 children in the UK found 25% were overweight or obese at age seven, rising to 35% at 11.… https://t.co/41qA60xnUd",Dec/10/2017,-0.3612,0.0,0.102,0.898,48
49,BBC,"GET EXCITED!! ?????
@Camila_Cabello has set the release date of her debut album Camila for 12 January.… https://t.co/gRtJVD7FEh",Dec/09/2017,0.5743,0.179,0.0,0.821,49
50,BBC,"Have we got five eight-year-olds robbing houses? No! We've got two bams with triplets. ?
#ScotSquad via… https://t.co/HUsw0CjaoY",Dec/09/2017,-0.3595,0.0,0.135,0.865,50
51,BBC,"The history of condoms stretches back around 3,000 years – but they still offer the best protection against STIs.… https://t.co/shw3Jn5og1",Dec/09/2017,0.7783,0.244,0.0,0.756,51
52,BBC,"Sexually frivolous and morally ambiguous. 
Meet pro wrestling’s pansexual phenomenon...????????
Via @BBC5Live. https://t.co/2Asruxhnv8",Dec/09/2017,0.0,0.0,0.0,1.0,52
53,BBC,"RT @BBCWthrWatchers: Ok, so #snow can be a pain ...but wow ? 
We're all feeling just a little more festive after your great efforts today!…",Dec/09/2017,0.8911,0.436,0.096,0.468,53
54,BBC,"RT @bbcthree: YOU'VE BEEN LIVING A LIE.
https://t.co/YUCx48Mv0o",Dec/09/2017,0.0,0.0,0.0,1.0,54
55,BBC,"RT @bbcstories: Do our young men lack positive role models? Davis thought so, so he founded The Manhood Academy. #EverydayHeroes https://t.…",Dec/09/2017,0.3182,0.145,0.092,0.763,55
56,BBC,"RT @BBCEarth: In Cape Verde, @ProjetoBioSal is on a mission to save baby turtles from human impact. ?
#OurBluePlanet w/ @AluciaProd https:/…",Dec/09/2017,0.4939,0.144,0.0,0.856,56
57,BBC,"RT @BBCSpringwatch: Brrr, a chilly one tonight!
Luckily we've some gorgeous grey seals in our advent calendar to warm to cockles of your he…",Dec/09/2017,0.8655,0.36,0.0,0.64,57
58,BBC,"RT @bbcmusic: ?@RagNBoneManUK brought all the feels to #SLFN with his stunning performance of 'As You Are' 
Watch in full ?https://t.co/JmZ…",Dec/09/2017,0.3818,0.115,0.0,0.885,58
59,BBC,30 years of Fairytale of New York: 10 true tales behind the @PoguesOfficial's Christmas favourite. ??… https://t.co/LClO0krtv0,Dec/09/2017,0.4215,0.149,0.0,0.851,59
60,BBC,"Ever wondered what London looked like 2000 years ago? ??
#DiggingForBritain, now on @BBCiPlayer ?… https://t.co/fd74UnWzF4",Dec/09/2017,0.3612,0.143,0.0,0.857,60
61,BBC,"Tonight, @McInTweet is joined by @JasonManford and @TheVampsband. ??? Michael McIntyre's Big Show. 8:20pm on… https://t.co/NW4Y5gYger",Dec/09/2017,0.0,0.0,0.0,1.0,61
62,BBC,"'I know it's not real because I'm surrounded by people eating crisps.' ??
#LiveAtTheApollo via @BBCTwo. https://t.co/1zwUd8oCvi",Dec/09/2017,0.0,0.0,0.0,1.0,62
63,BBC,"Alice is a 26-year-old mum. She's married, she has schizophrenia &amp; she is fed up of being portrayed as 'dangerous'… https://t.co/hy2APiuz5L",Dec/09/2017,0.0,0.0,0.0,1.0,63
64,BBC,Astronomers have discovered the most distant 'supermassive' black hole known to science. ?? https://t.co/OYWmKfE4t4 https://t.co/10PPSeYkT2,Dec/09/2017,0.0,0.0,0.0,1.0,64
65,BBC,Claire Foy talks about what will be her last outing as Britain’s longest serving monarch - and hints at choppy wate… https://t.co/z6WuYfwM3d,Dec/09/2017,0.0,0.0,0.0,1.0,65
66,BBC,"I'm celebrating natural beauty - 'Instagram isn't real life.' @IAmSonnyTurner
These five body positive champions ar… https://t.co/uUr8AHsfgq",Dec/09/2017,0.9517,0.607,0.0,0.393,66
67,BBC,"Could you live with your partner alone in a remote lighthouse for 6 months?
Via @BBCWorldService. https://t.co/7gNRygiGKr",Dec/09/2017,-0.25,0.0,0.125,0.875,67
68,BBC,"? Jack Black’s Jumanji theme tune is the best. ?
Via @BBCOne. https://t.co/bqpYxQ8cot",Dec/09/2017,0.6369,0.296,0.0,0.704,68
69,BBC,Dyslexie is a font that aims to overcome some of the problems that people with dyslexia can have when reading.… https://t.co/d3GZEMdZgc,Dec/09/2017,-0.4019,0.0,0.124,0.876,69
70,BBC,"?? Heard of Terrific Scientific, the BBC’s science campaign for primary pupils? 

If you know a brilliant teacher,… https://t.co/DtpAloo5Fe",Dec/09/2017,0.7845,0.301,0.0,0.699,70
71,BBC,Many coastal communities are already battling the effects of sea level rise - and it's made worse by the fact that… https://t.co/WRpTIDB2e9,Dec/09/2017,-0.6369,0.0,0.215,0.785,71
72,BBC,"Danielle is breaking deaf world records left right &amp; centre. ????
Via @BBCTheSocial. https://t.co/XRlJU7UdU7",Dec/09/2017,0.0,0.0,0.0,1.0,72
73,BBC,Do you feel pressure when giving Christmas gifts? @DrRadhaModgil discusses the psychology of giving &amp; receiving gif… https://t.co/DtkRGlOvdW,Dec/09/2017,0.3818,0.218,0.1,0.682,73
74,BBC,RT @bbcthree: Lynsey is saving condemned dogs and finding them forever homes. https://t.co/aF7j3gaZil,Dec/09/2017,-0.4404,0.0,0.195,0.805,74
75,BBC,"RT @bbcmusic: Nearly seven months later, we look back on the #OneLoveManchester concert staged by @ArianaGrande after the devastating attac…",Dec/09/2017,-0.6486,0.0,0.185,0.815,75
76,BBC,"RT @BBCr4today: If you do one thing today...

Listen to Gaelynn Lea play the violin #r4today https://t.co/nXixd8e8rO",Dec/09/2017,0.34,0.13,0.0,0.87,76
77,BBC,"??? @SJ_Watson was an audiology specialist before penning the international bestseller Before I Go To Sleep. 
5 peo… https://t.co/RqDVSZ8Ntl",Dec/09/2017,0.0,0.0,0.0,1.0,77
78,BBC,"Mason has used his pocket money to fund random acts of kindness this year in memory of his brother, Ross. ??? Via… https://t.co/asKJ9me2MY",Dec/09/2017,0.4588,0.12,0.0,0.88,78
79,BBC,"Who even needs a calculator anyway? 
Via BBC Minute https://t.co/5LIDp3hZXh",Dec/09/2017,0.0,0.0,0.0,1.0,79
80,BBC,"? From essays about Cuba’s transformation to a history of US nuclear policy, here are 10 books to read in December.… https://t.co/XvF7FFPWF8",Dec/09/2017,0.0,0.0,0.0,1.0,80
81,BBC,"There's around 500k pieces of space junk orbiting Earth, posing a huge threat to astronauts. The RemoveDebris space… https://t.co/MLFaaVAxta",Dec/09/2017,-0.2732,0.106,0.157,0.737,81
82,BBC,"As @Lord_Sugar's search for his next business partner continues, take an in-depth look at the remaining candidates.… https://t.co/jkK7AHquzr",Dec/08/2017,0.0,0.0,0.0,1.0,82
83,BBC,"'For me, drag is a device to entertain people and make them laugh.' ??
Via @BBCTheSocial. https://t.co/urnzq6NJJA",Dec/08/2017,0.1027,0.126,0.104,0.769,83
84,BBC,"You might think the hipster beard is a new trend, but the mid-19th century was a true golden age for massive facial… https://t.co/dsJojiqMgH",Dec/08/2017,0.5719,0.156,0.0,0.844,84
85,BBC,"RT @bbcmusic: WHAT A LINE UP ?
Tonight's #SLFN guest host: the incredible @DuaLipa ?
Performances from @KasabianHQ, @RagNBoneManUK, @RAYE a…",Dec/08/2017,0.0,0.0,0.0,1.0,85
86,BBC,"RT @bbc5live: 10-year-old William thought he'd lost his camera when it was swept out to sea ? ?

But he's been reunited with it after it wa…",Dec/08/2017,-0.3182,0.0,0.087,0.913,86
87,BBC,"RT @BBCSpringwatch: We've some gorgeous gannets in today's advent calendar. ???
They're busy building nests - I wonder if they can make wre…",Dec/08/2017,0.6124,0.167,0.0,0.833,87
88,BBC,RT @BBCOne: ? @Chris_Stark reveals the magic behind *that* BBC One Christmas tearjerker. https://t.co/FbLj5SrI6y,Dec/08/2017,0.0,0.0,0.0,1.0,88
89,BBC,? ? @ClaudiaWinkle and @Claraamfo look back at this year's best music. The Year in Music 2017. 9pm on @BBCTwo.… https://t.co/fqm4A0Wv3C,Dec/08/2017,0.6369,0.189,0.0,0.811,89
90,BBC,"? From the new Star Wars to the story of the worst movie ever made, here are 9 movies to watch in December. ?… https://t.co/Zihk2ad0dz",Dec/08/2017,-0.8271,0.0,0.268,0.732,90
91,BBC,"Sharks, bear markets, narwhals &amp; yak shaving - do you know the 
business beast ABC?
Full guide here ?… https://t.co/kgxpnSZf4A",Dec/08/2017,0.0,0.0,0.0,1.0,91
92,BBC,"Remember how we actually did alright at Eurovision this year? ??

10 surprising music moments from 2017 you've alre… https://t.co/hS72dmiWNE",Dec/08/2017,0.4767,0.186,0.0,0.814,92
93,BBC,??? Are you smarter than an 11-year-old? Take this quiz &amp; find out... https://t.co/JNbY5UN9QB https://t.co/nZWffIrmGv,Dec/08/2017,0.4588,0.176,0.0,0.824,93
94,BBC,"RT @bbcmusic: ?@Harry_Styles is nominated for BBC Music Artist Of The Year, and we STILL have goosebumps from his beautiful 'Girl Crush' pe…",Dec/08/2017,0.5106,0.147,0.06,0.792,94
